Date,Cases,Population Denisty ,Median age,Lock down status,Days
31-12-2019,0,308,26.8,0,0
01-01-2020,0,308,26.8,0,0
02-01-2020,0,308,26.8,0,0
03-01-2020,0,308,26.8,0,0
04-01-2020,0,308,26.8,0,0
05-01-2020,0,308,26.8,0,0
06-01-2020,0,308,26.8,0,0
07-01-2020,0,308,26.8,0,0
08-01-2020,0,308,26.8,0,0
09-01-2020,0,308,26.8,0,0
10-01-2020,0,308,26.8,0,0
11-01-2020,0,308,26.8,0,0
12-01-2020,0,308,26.8,0,0
13-01-2020,0,308,26.8,0,0
14-01-2020,0,308,26.8,0,0
15-01-2020,0,308,26.8,0,0
16-01-2020,0,308,26.8,0,0
17-01-2020,0,308,26.8,0,0
18-01-2020,0,308,26.8,0,0
19-01-2020,0,308,26.8,0,0
20-01-2020,0,308,26.8,0,0
21-01-2020,0,308,26.8,0,0
22-01-2020,0,308,26.8,0,0
23-01-2020,0,308,26.8,0,0
24-01-2020,0,308,26.8,0,0
25-01-2020,0,308,26.8,0,0
26-01-2020,0,308,26.8,0,0
27-01-2020,0,308,26.8,0,0
28-01-2020,0,308,26.8,0,0
29-01-2020,0,308,26.8,0,0
30-01-2020,0,308,26.8,0,0
31-01-2020,0,308,26.8,0,0
01-02-2020,0,308,26.8,0,0
02-02-2020,0,308,26.8,0,0
03-02-2020,0,308,26.8,0,0
04-02-2020,0,308,26.8,0,0
05-02-2020,0,308,26.8,0,0
06-02-2020,0,308,26.8,0,0
07-02-2020,0,308,26.8,0,0
08-02-2020,0,308,26.8,0,0
09-02-2020,0,308,26.8,0,0
10-02-2020,0,308,26.8,0,0
11-02-2020,0,308,26.8,0,0
12-02-2020,0,308,26.8,0,0
13-02-2020,0,308,26.8,0,0
14-02-2020,0,308,26.8,0,0
15-02-2020,0,308,26.8,0,0
16-02-2020,0,308,26.8,0,0
17-02-2020,0,308,26.8,0,0
18-02-2020,0,308,26.8,0,0
19-02-2020,0,308,26.8,0,0
20-02-2020,0,308,26.8,0,0
21-02-2020,0,308,26.8,0,0
22-02-2020,0,308,26.8,0,0
23-02-2020,0,308,26.8,0,0
24-02-2020,0,308,26.8,0,0
25-02-2020,0,308,26.8,0,0
26-02-2020,0,308,26.8,0,0
27-02-2020,0,308,26.8,0,0
28-02-2020,0,308,26.8,0,0
29-02-2020,0,308,26.8,0,0
01-03-2020,0,308,26.8,0,0
02-03-2020,0,308,26.8,0,0
03-03-2020,0,308,26.8,0,0
04-03-2020,0,308,26.8,0,0
05-03-2020,0,308,26.8,0,0
06-03-2020,0,308,26.8,0,0
07-03-2020,0,308,26.8,0,0
08-03-2020,0,308,26.8,0,0
09-03-2020,0,308,26.8,0,0
10-03-2020,0,308,26.8,0,0
11-03-2020,0,308,26.8,0,0
12-03-2020,0,308,26.8,0,0
13-03-2020,0,308,26.8,0,0
14-03-2020,1,308,26.8,0,0
15-03-2020,0,308,26.8,0,0
16-03-2020,0,308,26.8,0,0
17-03-2020,0,308,26.8,0,0
18-03-2020,0,308,26.8,0,0
19-03-2020,2,308,26.8,0,0
20-03-2020,0,308,26.8,0,0
21-03-2020,2,308,26.8,1,1
22-03-2020,1,308,26.8,1,2
23-03-2020,1,308,26.8,1,3
24-03-2020,1,308,26.8,1,4
25-03-2020,2,308,26.8,1,5
26-03-2020,1,308,26.8,1,6
27-03-2020,2,308,26.8,1,7
28-03-2020,6,308,26.8,1,8
29-03-2020,2,308,26.8,1,9
30-03-2020,2,308,26.8,1,10
31-03-2020,21,308,26.8,1,11
01-04-2020,67,308,26.8,1,12
02-04-2020,38,308,26.8,1,13
03-04-2020,15,308,26.8,1,14
04-04-2020,28,308,26.8,1,15
05-04-2020,64,308,26.8,1,16
06-04-2020,47,308,26.8,1,17
07-04-2020,11,308,26.8,1,18
08-04-2020,34,308,26.8,1,19
09-04-2020,15,308,26.8,1,20
10-04-2020,18,308,26.8,1,21
11-04-2020,24,308,26.8,1,22
12-04-2020,15,308,26.8,1,23
13-04-2020,19,308,26.8,1,24
14-04-2020,45,308,26.8,1,25
15-04-2020,41,308,26.8,1,26
16-04-2020,9,308,26.8,1,27
17-04-2020,38,308,26.8,1,28
18-04-2020,31,308,26.8,1,29
19-04-2020,44,308,26.8,1,30
20-04-2020,75,308,26.8,1,31
21-04-2020,35,308,26.8,1,32
22-04-2020,56,308,26.8,1,33
23-04-2020,80,308,26.8,1,34
24-04-2020,62,308,26.8,1,35
25-04-2020,61,308,26.8,1,36
26-04-2020,81,308,26.8,1,37
27-04-2020,80,308,26.8,1,38
28-04-2020,82,308,26.8,1,39
29-04-2020,73,308,26.8,1,40
30-04-2020,71,308,26.8,1,41
01-05-2020,60,308,26.8,1,42
02-05-2020,62,308,26.8,1,43
03-05-2020,58,308,26.8,1,44
