date,France,Population density,median age,Lock down status,days
31-12-2019,0,119,41.2,0,0
01-01-2020,0,119,41.2,0,0
02-01-2020,0,119,41.2,0,0
03-01-2020,0,119,41.2,0,0
04-01-2020,0,119,41.2,0,0
05-01-2020,0,119,41.2,0,0
06-01-2020,0,119,41.2,0,0
07-01-2020,0,119,41.2,0,0
08-01-2020,0,119,41.2,0,0
09-01-2020,0,119,41.2,0,0
10-01-2020,0,119,41.2,0,0
11-01-2020,0,119,41.2,0,0
12-01-2020,0,119,41.2,0,0
13-01-2020,0,119,41.2,0,0
14-01-2020,0,119,41.2,0,0
15-01-2020,0,119,41.2,0,0
16-01-2020,0,119,41.2,0,0
17-01-2020,0,119,41.2,0,0
18-01-2020,0,119,41.2,0,0
19-01-2020,0,119,41.2,0,0
20-01-2020,0,119,41.2,0,0
21-01-2020,0,119,41.2,0,0
22-01-2020,0,119,41.2,0,0
23-01-2020,0,119,41.2,0,0
24-01-2020,0,119,41.2,0,0
25-01-2020,3,119,41.2,0,0
26-01-2020,0,119,41.2,0,0
27-01-2020,0,119,41.2,0,0
28-01-2020,0,119,41.2,0,0
29-01-2020,1,119,41.2,0,0
30-01-2020,1,119,41.2,0,0
31-01-2020,1,119,41.2,0,0
01-02-2020,0,119,41.2,0,0
02-02-2020,0,119,41.2,0,0
03-02-2020,0,119,41.2,0,0
04-02-2020,0,119,41.2,0,0
05-02-2020,0,119,41.2,0,0
06-02-2020,0,119,41.2,0,0
07-02-2020,0,119,41.2,0,0
08-02-2020,5,119,41.2,0,0
09-02-2020,0,119,41.2,0,0
10-02-2020,0,119,41.2,0,0
11-02-2020,0,119,41.2,0,0
12-02-2020,0,119,41.2,0,0
13-02-2020,0,119,41.2,0,0
14-02-2020,0,119,41.2,0,0
15-02-2020,0,119,41.2,0,0
16-02-2020,0,119,41.2,0,0
17-02-2020,1,119,41.2,0,0
18-02-2020,0,119,41.2,0,0
19-02-2020,0,119,41.2,0,0
20-02-2020,0,119,41.2,0,0
21-02-2020,0,119,41.2,0,0
22-02-2020,0,119,41.2,0,0
23-02-2020,0,119,41.2,0,0
24-02-2020,0,119,41.2,0,0
25-02-2020,0,119,41.2,0,0
26-02-2020,2,119,41.2,0,0
27-02-2020,3,119,41.2,0,0
28-02-2020,21,119,41.2,0,0
29-02-2020,19,119,41.2,0,0
01-03-2020,43,119,41.2,0,0
02-03-2020,30,119,41.2,0,0
03-03-2020,48,119,41.2,0,0
04-03-2020,34,119,41.2,0,0
05-03-2020,73,119,41.2,0,0
06-03-2020,138,119,41.2,0,0
07-03-2020,190,119,41.2,0,0
08-03-2020,103,119,41.2,0,0
09-03-2020,410,119,41.2,0,0
10-03-2020,286,119,41.2,0,0
11-03-2020,372,119,41.2,0,0
12-03-2020,497,119,41.2,0,0
13-03-2020,595,119,41.2,0,0
14-03-2020,785,119,41.2,0,0
15-03-2020,838,119,41.2,0,0
16-03-2020,924,119,41.2,0,0
17-03-2020,1210,119,41.2,0,0
18-03-2020,1097,119,41.2,1,1
19-03-2020,1404,119,41.2,1,2
20-03-2020,1861,119,41.2,1,3
21-03-2020,1617,119,41.2,1,4
22-03-2020,1847,119,41.2,1,5
23-03-2020,1559,119,41.2,1,6
24-03-2020,3838,119,41.2,1,7
25-03-2020,2446,119,41.2,1,8
26-03-2020,2931,119,41.2,1,9
27-03-2020,3922,119,41.2,1,10
28-03-2020,3809,119,41.2,1,11
29-03-2020,4611,119,41.2,1,12
30-03-2020,2599,119,41.2,1,13
31-03-2020,4376,119,41.2,1,14
01-04-2020,7578,119,41.2,1,15
02-04-2020,4861,119,41.2,1,16
03-04-2020,2116,119,41.2,1,17
04-04-2020,5233,119,41.2,1,18
05-04-2020,4267,119,41.2,1,19
06-04-2020,1873,119,41.2,1,20
07-04-2020,3912,119,41.2,1,21
08-04-2020,3777,119,41.2,1,22
09-04-2020,3881,119,41.2,1,23
10-04-2020,4286,119,41.2,1,24
11-04-2020,4342,119,41.2,1,25
12-04-2020,3114,119,41.2,1,26
13-04-2020,1613,119,41.2,1,27
14-04-2020,2673,119,41.2,1,28
15-04-2020,5497,119,41.2,1,29
16-04-2020,2633,119,41.2,1,30
17-04-2020,2641,119,41.2,1,31
18-04-2020,405,119,41.2,1,32
19-04-2020,2569,119,41.2,1,33
20-04-2020,785,119,41.2,1,34
21-04-2020,2051,119,41.2,1,35
22-04-2020,2667,119,41.2,1,36
23-04-2020,1827,119,41.2,1,37
24-04-2020,1653,119,41.2,1,38
25-04-2020,1773,119,41.2,1,39
26-04-2020,1537,119,41.2,1,40
27-04-2020,461,119,41.2,1,41
