date,Dialy new cases,Population density,Medan age ,Lockdown status,Lockdown days
31-12-2019,0,533,45.4,0,0
01-01-2020,0,533,45.4,0,0
02-01-2020,0,533,45.4,0,0
03-01-2020,0,533,45.4,0,0
04-01-2020,0,533,45.4,0,0
05-01-2020,0,533,45.4,0,0
06-01-2020,0,533,45.4,0,0
07-01-2020,0,533,45.4,0,0
08-01-2020,0,533,45.4,0,0
09-01-2020,0,533,45.4,0,0
10-01-2020,0,533,45.4,0,0
11-01-2020,0,533,45.4,0,0
12-01-2020,0,533,45.4,0,0
13-01-2020,0,533,45.4,0,0
14-01-2020,0,533,45.4,0,0
15-01-2020,0,533,45.4,0,0
16-01-2020,0,533,45.4,0,0
17-01-2020,0,533,45.4,0,0
18-01-2020,0,533,45.4,0,0
19-01-2020,0,533,45.4,0,0
20-01-2020,0,533,45.4,0,0
21-01-2020,0,533,45.4,0,0
22-01-2020,0,533,45.4,0,0
23-01-2020,0,533,45.4,0,0
24-01-2020,0,533,45.4,0,0
25-01-2020,0,533,45.4,0,0
26-01-2020,0,533,45.4,0,0
27-01-2020,0,533,45.4,0,0
28-01-2020,0,533,45.4,0,0
29-01-2020,0,533,45.4,0,0
30-01-2020,0,533,45.4,0,0
31-01-2020,3,533,45.4,0,0
01-02-2020,0,533,45.4,0,0
02-02-2020,0,533,45.4,0,0
03-02-2020,0,533,45.4,0,0
04-02-2020,0,533,45.4,0,0
05-02-2020,0,533,45.4,0,0
06-02-2020,0,533,45.4,0,0
07-02-2020,0,533,45.4,0,0
08-02-2020,0,533,45.4,0,0
09-02-2020,0,533,45.4,0,0
10-02-2020,0,533,45.4,0,0
11-02-2020,0,533,45.4,0,0
12-02-2020,0,533,45.4,0,0
13-02-2020,0,533,45.4,0,0
14-02-2020,0,533,45.4,0,0
15-02-2020,0,533,45.4,0,0
16-02-2020,0,533,45.4,0,0
17-02-2020,0,533,45.4,0,0
18-02-2020,0,533,45.4,0,0
19-02-2020,0,533,45.4,0,0
20-02-2020,0,533,45.4,0,0
21-02-2020,0,533,45.4,0,0
22-02-2020,14,533,45.4,0,0
23-02-2020,62,533,45.4,0,0
24-02-2020,53,533,45.4,0,0
25-02-2020,97,533,45.4,0,0
26-02-2020,93,533,45.4,0,0
27-02-2020,78,533,45.4,0,0
28-02-2020,250,533,45.4,0,0
29-02-2020,238,533,45.4,0,0
01-03-2020,240,533,45.4,0,0
02-03-2020,561,533,45.4,0,0
03-03-2020,347,533,45.4,0,0
04-03-2020,466,533,45.4,0,0
05-03-2020,587,533,45.4,0,0
06-03-2020,769,533,45.4,0,0
07-03-2020,778,533,45.4,0,0
08-03-2020,1247,533,45.4,0,0
09-03-2020,1492,533,45.4,0,0
10-03-2020,1797,533,45.4,1,1
11-03-2020,977,533,45.4,1,2
12-03-2020,2313,533,45.4,1,3
13-03-2020,2651,533,45.4,1,4
14-03-2020,2547,533,45.4,1,5
15-03-2020,3497,533,45.4,1,6
16-03-2020,2823,533,45.4,1,7
17-03-2020,4000,533,45.4,1,8
18-03-2020,3526,533,45.4,1,9
19-03-2020,4207,533,45.4,1,10
20-03-2020,5322,533,45.4,1,11
21-03-2020,5986,533,45.4,1,12
22-03-2020,6557,533,45.4,1,13
23-03-2020,5560,533,45.4,1,14
24-03-2020,4789,533,45.4,1,15
25-03-2020,5249,533,45.4,1,16
26-03-2020,5210,533,45.4,1,17
27-03-2020,6153,533,45.4,1,18
28-03-2020,5959,533,45.4,1,19
29-03-2020,5974,533,45.4,1,20
30-03-2020,5217,533,45.4,1,21
31-03-2020,4050,533,45.4,1,22
01-04-2020,4053,533,45.4,1,23
02-04-2020,4782,533,45.4,1,24
03-04-2020,4668,533,45.4,1,25
04-04-2020,4585,533,45.4,1,26
05-04-2020,4805,533,45.4,1,27
06-04-2020,4316,533,45.4,1,28
07-04-2020,3599,533,45.4,1,29
08-04-2020,3039,533,45.4,1,30
09-04-2020,3836,533,45.4,1,31
10-04-2020,4204,533,45.4,1,32
11-04-2020,3951,533,45.4,1,33
12-04-2020,4694,533,45.4,1,34
13-04-2020,4092,533,45.4,1,35
14-04-2020,3153,533,45.4,1,36
15-04-2020,2972,533,45.4,1,37
16-04-2020,2667,533,45.4,1,38
17-04-2020,3786,533,45.4,1,39
18-04-2020,3493,533,45.4,1,40
19-04-2020,3491,533,45.4,1,41
20-04-2020,3047,533,45.4,1,42
21-04-2020,2256,533,45.4,1,43
22-04-2020,2729,533,45.4,1,44
23-04-2020,3370,533,45.4,1,45
24-04-2020,2646,533,45.4,1,46
25-04-2020,3021,533,45.4,1,47
26-04-2020,2357,533,45.4,1,48
27-04-2020,2324,533,45.4,1,49
